=== Evaluation Scores ===

Per-Scene Scores:
  848971384d2e2956_00024: psnr=34.9406, ssim= 0.9800, lpips= 0.0316
  e9f1e4315562d02c_00038: psnr=26.7092, ssim= 0.8710, lpips= 0.0780
  03e756bff92d49dd_00007: psnr=29.4631, ssim= 0.9618, lpips= 0.0709
  68aaef5b574f98d5_00140: psnr=25.4200, ssim= 0.8433, lpips= 0.1053
  cbe038e8be4f6b96_00005: psnr=31.3143, ssim= 0.9705, lpips= 0.0612
  2fdfa70413053b84_00018: psnr=27.3735, ssim= 0.9327, lpips= 0.1110
  701ee1118e22239d_00003: psnr=33.0833, ssim= 0.9408, lpips= 0.1194
  a942b6e69847940b_00002: psnr=38.2625, ssim= 0.9577, lpips= 0.0527
  96a7bdbfc462408d_00192: psnr=36.8634, ssim= 0.9594, lpips= 0.0420
  2177ca3a775a9ee9_00104: psnr=29.3474, ssim= 0.9494, lpips= 0.0840
  b62fcc6856e45647_00019: psnr=24.1169, ssim= 0.8187, lpips= 0.1263
  03a78406de1d0993_00005: psnr=20.6351, ssim= 0.7233, lpips= 0.1916
  281452e730c39fd0_00046: psnr=23.5393, ssim= 0.8521, lpips= 0.0979
  44095e87bee5475e_00059: psnr=24.1182, ssim= 0.8044, lpips= 0.1526
  436a235ed74c3d89_00059: psnr=26.5069, ssim= 0.8697, lpips= 0.1103
  bece0bcf62400bce_00052: psnr=22.8080, ssim= 0.8556, lpips= 0.1591
  d7c79e9bf6b0e42e_00026: psnr=34.9641, ssim= 0.9662, lpips= 0.0374
  c0677cb9b8d767a6_00157: psnr=17.6460, ssim= 0.7033, lpips= 0.3236
  b67312c3e1dbea65_00015: psnr=33.4324, ssim= 0.9568, lpips= 0.1011
  46a39a38f2c09d34_00000: psnr=24.8827, ssim= 0.8370, lpips= 0.0806
  f23ea66496d4592c_00011: psnr=37.4501, ssim= 0.9722, lpips= 0.0482
  0e8995dcbdd22f48_00027: psnr=27.8294, ssim= 0.9268, lpips= 0.1038
  f32643006f1260b9_00034: psnr=25.0656, ssim= 0.8321, lpips= 0.1457
  8c5136bca99f6b66_00000: psnr=33.9651, ssim= 0.9512, lpips= 0.0702
  b4ccda687d2470b1_00081: psnr=27.7487, ssim= 0.8990, lpips= 0.1159
  edba67643c40b399_00077: psnr=32.9770, ssim= 0.9574, lpips= 0.0546
  4a582ee23dd05a8d_00095: psnr=31.0669, ssim= 0.9514, lpips= 0.0735
  4ce58504b055463e_00074: psnr=30.9908, ssim= 0.9287, lpips= 0.1035
  de589d5890b4e6e8_00002: psnr=33.1200, ssim= 0.9538, lpips= 0.0608
  6c99592614256138_00056: psnr=30.8612, ssim= 0.9609, lpips= 0.0455
  1bc87c160d1dc982_00012: psnr=37.0472, ssim= 0.9820, lpips= 0.0316
  5994761c53eb75ff_00000: psnr=31.9315, ssim= 0.9099, lpips= 0.0903
  774712243467068c_00006: psnr=29.7925, ssim= 0.9518, lpips= 0.0936
  bfd1e3bcdbf0fbb9_00003: psnr=31.6499, ssim= 0.9454, lpips= 0.0552
