scene,psnr,ssim,lpips
fcf379edfcfe492c_00043,27.5177,0.9119,0.1452
a7c691c210154b09_00000,27.5145,0.9407,0.1326
c767b97c0d3caca4_00063,27.5007,0.9079,0.1448
c9c221c5d2f549ea_00054,27.49,0.8827,0.1837
6eaf7b55c0a59be9_00106,27.4645,0.9028,0.186
c6c9e352022ce110_00007,27.4444,0.8859,0.1917
247bc2e47eb7f6fa_00113,27.4311,0.8976,0.1563
4a582ee23dd05a8d_00095,27.3969,0.9287,0.1528
281452e730c39fd0_00046,27.3741,0.9229,0.1187
5aca87f95a9412c6_00058,27.3453,0.9071,0.1147
4ce58504b055463e_00074,27.3128,0.8942,0.1918
912177dbf0a1ed6c_00003,27.2771,0.9534,0.1224
dc6c3a7310c42e07_00001,27.2576,0.9074,0.1322
430c6d1f8676fabc_00061,27.2,0.7815,0.2306
01be77405b16df11_00013,27.1935,0.9237,0.134
e9b3ce3fb857d86f_00138,27.1933,0.9163,0.2171
57521976806b42c7_00001,27.1452,0.8594,0.1358
b8a77ae2419b398f_00097,27.1217,0.9425,0.1551
0e8995dcbdd22f48_00027,27.1102,0.9031,0.1934
5be4f1f46b408d68_00108,27.0719,0.9173,0.1279
8453005c232016c7_00036,27.0358,0.9198,0.1215
c71fa7a8db8bbec8_00022,27.0336,0.8565,0.1662
ea238737feca4622_00033,26.9902,0.9053,0.1854
3dc0058dce3828d9_00021,26.9738,0.925,0.1167
adeeb0d485535dfb_00003,26.9534,0.8718,0.1962
6a4a6eb9accd3528_00000,26.953,0.9085,0.1371
71a27a839592fb3a_00000,26.8996,0.8436,0.1559
7158aadeff21a2ff_00073,26.8777,0.8752,0.1826
49235d402cbb8895_00036,26.8717,0.9184,0.1395
dbb340f63c6ae50b_00106,26.8088,0.8758,0.1445
b4099665590548fc_00023,26.8085,0.9306,0.142
156f4c7dca878ff2_00024,26.8002,0.9298,0.1392
399cfd9cfacc0499_00004,26.7721,0.9003,0.149
b8a96066ff35db86_00030,26.7709,0.755,0.2585
84ab392d682f296b_00043,26.7526,0.9053,0.1372
572acd18419c3456_00003,26.6835,0.9032,0.136
59767154863dc444_00021,26.639,0.8932,0.186
358bdee988c269ef_00003,26.633,0.9051,0.1489
f99691764cd67e0c_00049,26.6084,0.8906,0.1719
1225476a1221ce08_00024,26.6024,0.8305,0.1763
a14cdbc8771393d1_00031,26.5647,0.8967,0.1038
f80f0077f529c4d7_00064,26.5365,0.8276,0.187
17d9303ee77c3a3d_00017,26.4875,0.915,0.1371
8ab4c604ecea9c58_00051,26.475,0.7465,0.2258
e9f1e4315562d02c_00038,26.4371,0.8585,0.1455
78e901c8d85e71a7_00015,26.428,0.817,0.1739
21d9134faec148f2_00099,26.4258,0.8531,0.1819
d879362410eaf691_00001,26.4238,0.8759,0.2142
154365ab5a4e067b_00002,26.4196,0.8891,0.1182
071e8c0978097efd_00128,26.4098,0.8702,0.1692
ebb5e70d56341020_00032,26.4025,0.7064,0.2171
20b38e0a985506ba_00014,26.3997,0.8692,0.1644
052430ff6e2c07c4_00019,26.3782,0.892,0.1595
ccdd4b5d45af03e8_00019,26.3562,0.8257,0.2343
be9fe7824449d416_00024,26.3465,0.9105,0.1422
27382fa047b4681a_00007,26.3173,0.7275,0.2477
523bc6753cd13644_00020,26.3132,0.7924,0.1882
3b6d8db52c54b174_00000,26.2839,0.8777,0.1485
2a89b2a52cee9f5f_00211,26.2503,0.8746,0.167
5185cb2d8a7fde08_00010,26.2327,0.8849,0.1844
ed0c2aca14b99efa_00062,26.2299,0.8434,0.22
05c57211be152630_00009,26.1911,0.847,0.1412
e9b506f37c2389cb_00042,26.1752,0.9187,0.1595
88d9ba3324f2ec21_00002,26.113,0.7887,0.2762
8610164dfd89cd44_00003,26.0728,0.8832,0.1204
8b0af1b58d41bcd5_00006,26.0709,0.9031,0.1329
9e784b792f4aa092_00002,26.07,0.7182,0.2824
7ac41312c56a0cc7_00054,26.0662,0.7134,0.243
2e4cac06a4f92261_00002,26.0644,0.8625,0.1964
90131e866868c2f6_00027,26.0642,0.9038,0.1557
51973bc28ad2030d_00000,26.034,0.8732,0.1389
9fdeeee21b106732_00009,26.0259,0.8973,0.1648
1203cc23b881ab8d_00055,26.0236,0.897,0.1356
bfcc43cb05071cf7_00020,25.9753,0.827,0.2273
30fc5fc78c5a716e_00151,25.8881,0.874,0.1553
2e4c69143b09033c_00013,25.8806,0.8628,0.1456
c34b59ec59eb886c_00007,25.8443,0.8907,0.1886
3e5f747d06bc84a3_00085,25.8373,0.9211,0.2341
e2cd09b4dc82ba9b_00033,25.7717,0.8282,0.1743
575fc7cbb9b2d352_00021,25.7117,0.9104,0.18
8adebbb68f2c3f84_00072,25.7079,0.8263,0.2007
127884736471b631_00089,25.6557,0.7395,0.2528
12a70416c92a9483_00042,25.6529,0.7996,0.2387
1f0e06e4388dd600_00044,25.5607,0.8981,0.1581
f649244a6907838c_00015,25.5338,0.8637,0.1638
0c52996355b23d76_00051,25.4753,0.815,0.1561
2341162bce213f2e_00051,25.4431,0.894,0.1602
505a86992cc1b6ce_00005,25.4296,0.8751,0.1585
bb68958771bd013e_00036,25.4151,0.875,0.2023
ffa95c3b40609c76_00120,25.335,0.7936,0.1919
dd6f8f3b56c66aee_00149,25.2996,0.8807,0.1476
46a39a38f2c09d34_00000,25.2245,0.8145,0.162
e43058cb365b9459_00171,25.1024,0.885,0.1484
800ea72b6988f63e_00141,25.0974,0.8529,0.1418
436a235ed74c3d89_00059,25.0954,0.8239,0.199
f4c093d62e3bc637_00014,25.0921,0.9002,0.1593
af55f1aae9438a31_00189,25.0398,0.8394,0.1876
98309bf872051c85_00182,24.9514,0.8303,0.1778
03e756bff92d49dd_00007,24.9206,0.9088,0.1474
2f98ee24d3fc43a2_00078,24.9071,0.9345,0.1577
882c68c70d22f4c5_00049,24.9055,0.8876,0.1133
26b31d71789bffad_00003,24.9051,0.7599,0.177
d4d77d8b3f48c2e9_00013,24.7968,0.8332,0.1602
18c6473be3bd827a_00001,24.7659,0.7913,0.1783
8d5163de9ea4d851_00039,24.7437,0.8418,0.1872
e5fec092b986596d_00009,24.7326,0.8833,0.1521
bf1d955d0d4cad3d_00007,24.6074,0.8791,0.1561
656381bea665bf3d_00027,24.5741,0.8572,0.1546
14cdf4aa7a2de14b_00011,24.5726,0.9092,0.2123
b6fbc2ea0566cea8_00023,24.5039,0.8672,0.1804
145708c0216a06a7_00025,24.3835,0.8723,0.1475
c7f70ca1ccd2588d_00000,24.3519,0.7911,0.18
365fc12b4f33ada3_00035,24.3299,0.7875,0.193
f32643006f1260b9_00034,24.2951,0.7937,0.2431
86a463200232af47_00093,24.2584,0.8447,0.1936
f13a2892e0df0743_00006,24.2511,0.8078,0.1661
1214f2a11a9fc1ed_00103,24.18,0.9212,0.1663
bc7ce58a16724386_00005,24.1787,0.8718,0.1644
df0389efcc51ac2d_00007,24.1425,0.8874,0.1709
67a69088a2695987_00006,24.1098,0.838,0.1749
2482c4388b32f225_00056,24.0842,0.8468,0.2315
2af206730de6f439_00026,24.0452,0.8068,0.1448
f71f8b27e6ef3f7e_00014,23.9898,0.8437,0.1832
44095e87bee5475e_00059,23.9373,0.789,0.2336
4803cf5deca2b38a_00011,23.8911,0.9137,0.1544
81be42df6ccae760_00013,23.845,0.894,0.1997
aaeb7a0ab3303b61_00141,23.8378,0.8522,0.1908
ae4090e8832b90f9_00165,23.7314,0.7851,0.2111
68aaef5b574f98d5_00140,23.7307,0.779,0.1892
c9c30723d7c54793_00152,23.6136,0.6633,0.2682
8c5cc2b59d236f7f_00015,23.576,0.8574,0.1792
6771a51bf0cfce7f_00152,23.5518,0.8368,0.2306
50a356dd9870ac9b_00079,23.4224,0.7496,0.2133
bfd27ad72975e120_00008,23.4086,0.6982,0.2313
15d4a976e4e7d3dd_00187,23.3575,0.9153,0.2001
75fc11bacb566213_00042,23.3525,0.8158,0.2528
3fd084afa49b6499_00020,23.2095,0.7497,0.2032
701c87315926ad90_00062,23.1862,0.7298,0.3281
34b0658a5c200cdf_00000,23.1688,0.8811,0.1443
62bcb465bb03d34f_00006,23.0717,0.8852,0.1186
0e16d64d961fe855_00011,23.0664,0.7955,0.2109
a0dda4b2ec17cde1_00021,22.9968,0.7829,0.2723
bece0bcf62400bce_00052,22.9377,0.8354,0.2513
f5a9a6278a8e44b2_00154,22.8263,0.8186,0.168
341c4533fbcb15a4_00012,22.7344,0.8551,0.1514
6890595879a5790a_00091,22.7257,0.7223,0.3375
21e794f71e31becb_00072,22.6992,0.8026,0.1887
3e1236935a5f70ae_00001,22.5953,0.6988,0.1833
