=== Evaluation Scores ===

Per-Scene Scores:
  03a78406de1d0993_00005: psnr=18.5468, ssim= 0.5556, lpips= 0.3061
  281452e730c39fd0_00046: psnr=20.2466, ssim= 0.8098, lpips= 0.1996
  44095e87bee5475e_00059: psnr=23.7734, ssim= 0.7638, lpips= 0.2464
  436a235ed74c3d89_00059: psnr=25.0426, ssim= 0.8147, lpips= 0.2013
  bece0bcf62400bce_00052: psnr=23.0611, ssim= 0.8330, lpips= 0.2521
  d7c79e9bf6b0e42e_00026: psnr=29.9651, ssim= 0.9028, lpips= 0.1069
  c0677cb9b8d767a6_00157: psnr=19.5462, ssim= 0.7587, lpips= 0.3540
  b67312c3e1dbea65_00015: psnr=29.5493, ssim= 0.9327, lpips= 0.1667
  46a39a38f2c09d34_00000: psnr=24.7070, ssim= 0.8048, lpips= 0.1652
  f23ea66496d4592c_00011: psnr=33.2236, ssim= 0.9265, lpips= 0.1332
  0e8995dcbdd22f48_00027: psnr=26.3043, ssim= 0.8824, lpips= 0.2013
  f32643006f1260b9_00034: psnr=24.6495, ssim= 0.7973, lpips= 0.2417
  8c5136bca99f6b66_00000: psnr=24.7901, ssim= 0.8329, lpips= 0.2429
  b4ccda687d2470b1_00081: psnr=27.1861, ssim= 0.8804, lpips= 0.1770
  edba67643c40b399_00077: psnr=29.8919, ssim= 0.9286, lpips= 0.1223
  4a582ee23dd05a8d_00095: psnr=27.3113, ssim= 0.9287, lpips= 0.1518
  4ce58504b055463e_00074: psnr=27.1651, ssim= 0.8930, lpips= 0.1925
  de589d5890b4e6e8_00002: psnr=26.0651, ssim= 0.8506, lpips= 0.1632
  6c99592614256138_00056: psnr=28.0302, ssim= 0.9286, lpips= 0.1086
  1bc87c160d1dc982_00012: psnr=29.4858, ssim= 0.9281, lpips= 0.0988
  5994761c53eb75ff_00000: psnr=28.7468, ssim= 0.8155, lpips= 0.2117
  774712243467068c_00006: psnr=29.9352, ssim= 0.9012, lpips= 0.1802
  bfd1e3bcdbf0fbb9_00003: psnr=27.2411, ssim= 0.8634, lpips= 0.1334
  bc7ce58a16724386_00005: psnr=22.9325, ssim= 0.8322, lpips= 0.1801
  c19cc383d575e722_00044: psnr=30.9776, ssim= 0.9491, lpips= 0.1410
  cfa392a515fbe36a_00002: psnr=29.8055, ssim= 0.9283, lpips= 0.1289
  e87c0a291ec4a45d_00004: psnr=28.8652, ssim= 0.9394, lpips= 0.1132
  b352534bdedb50b3_00005: psnr=35.9070, ssim= 0.9704, lpips= 0.0737
  5331fddb30f9132e_00006: psnr=32.6171, ssim= 0.9517, lpips= 0.0973
  52aef823cc9a031c_00020: psnr=31.3000, ssim= 0.9498, lpips= 0.1482
  a6d75912a7fb7e91_00029: psnr=29.1360, ssim= 0.9065, lpips= 0.1483
  374fa34fe701a30d_00002: psnr=34.5540, ssim= 0.9666, lpips= 0.0714
  3dba1838ed366ab5_00017: psnr=29.4505, ssim= 0.9395, lpips= 0.1294
  2341162bce213f2e_00051: psnr=23.9329, ssim= 0.8464, lpips= 0.1721
  cb6b6e325aaafcc9_00033: psnr=30.0535, ssim= 0.9075, lpips= 0.1230
  e5fec092b986596d_00009: psnr=24.9430, ssim= 0.8884, lpips= 0.1503
  11eb02d24a3241a9_00002: psnr=34.4573, ssim= 0.9645, lpips= 0.0894
  d5a254717822d28b_00158: psnr=32.9951, ssim= 0.9430, lpips= 0.1021
  ef1457995bca9afd_00002: psnr=29.7535, ssim= 0.9200, lpips= 0.1135
  14cdf4aa7a2de14b_00011: psnr=20.6471, ssim= 0.8332, lpips= 0.2813
  18c6473be3bd827a_00001: psnr=21.6852, ssim= 0.7119, lpips= 0.2244
  3dc0058dce3828d9_00021: psnr=28.4097, ssim= 0.9260, lpips= 0.1170
  c34b59ec59eb886c_00007: psnr=25.1373, ssim= 0.8720, lpips= 0.1977
  f1cf2e1b45e3c789_00107: psnr=30.5274, ssim= 0.9534, lpips= 0.1255
  a0dda4b2ec17cde1_00021: psnr=22.9184, ssim= 0.7931, lpips= 0.2747
  ee135ea99ddcb32e_00058: psnr=32.7868, ssim= 0.9345, lpips= 0.1103
  8debcd56accec5c3_00008: psnr=28.5479, ssim= 0.9149, lpips= 0.1346
  27382fa047b4681a_00007: psnr=25.0479, ssim= 0.6708, lpips= 0.2695
  c439c3b3d45d651d_00050: psnr=29.4841, ssim= 0.8953, lpips= 0.1627
  127884736471b631_00089: psnr=24.8651, ssim= 0.7070, lpips= 0.2659
  753ccd3da86a8cd8_00088: psnr=21.6824, ssim= 0.8481, lpips= 0.2333
  cac91919db0b7a85_00022: psnr=20.2539, ssim= 0.8259, lpips= 0.2585
